DATE TIME,DAWT(C)
2024-05-28,9.01
2024-05-29,9.03
2024-05-30,9.02
2024-05-31,9.05
2024-06-01,9.04
2024-06-02,9.04
2024-06-03,9.09
2024-06-04,9.05
2024-06-05,9.12
2024-06-06,9.11
2024-06-07,9.09
2024-06-08,9.09
2024-06-09,9.1
2024-06-10,9.09
2024-06-11,9.1
2024-06-12,9.12
2024-06-13,9.12
2024-06-14,9.14
2024-06-15,9.15
2024-06-16,9.16
2024-06-17,9.2
2024-06-18,9.21
2024-06-19,9.2
2024-06-20,9.22
2024-06-21,9.17
2024-06-22,9.24
2024-06-23,9.22
2024-06-24,9.23
2024-06-25,9.24
2024-06-26,9.25
2024-06-27,9.26
2024-06-28,9.29
2024-06-29,9.25
2024-06-30,9.28
2024-07-01,9.3
2024-07-02,9.28
2024-07-03,9.3
2024-07-04,9.32
2024-07-05,9.33
2024-07-06,9.35
2024-07-07,9.32
2024-07-08,9.38
2024-07-09,9.38
2024-07-10,9.38
2024-07-11,9.37
2024-07-12,9.43
2024-07-13,9.43
2024-07-14,9.43
2024-07-15,9.47
2024-07-16,9.46
2024-07-17,9.46
2024-07-18,9.54
2024-07-19,9.5
2024-07-20,9.51
2024-07-21,9.56
2024-07-22,9.55
2024-07-23,9.57
2024-07-24,9.61
2024-07-25,9.6
2024-07-26,9.64
2024-07-27,9.67
2024-07-28,9.69
2024-07-29,9.67
2024-07-30,9.74
2024-07-31,9.75
2024-08-01,9.77
2024-08-02,9.79
2024-08-03,9.84
2024-08-04,9.87
2024-08-05,9.87
2024-08-06,9.92
2024-08-07,9.97
2024-08-08,9.99
2024-08-09,10.06
2024-08-10,10.1
2024-08-11,10.14
2024-08-12,10.21
2024-08-13,10.21
2024-08-14,10.29
2024-08-15,10.41
2024-08-16,10.47
2024-08-17,10.4
2024-08-18,10.59
2024-08-19,10.58
2024-08-20,10.65
2024-08-21,10.72
2024-08-22,10.75
2024-08-23,10.85
2024-08-24,10.93
2024-08-25,11.0
2024-08-26,10.96
2024-08-27,11.16
2024-08-28,11.12
2024-08-29,11.27
2024-08-30,11.29
2024-08-31,11.42
2024-09-01,11.43
2024-09-02,11.59
2024-09-03,11.65
2024-09-04,11.75
2024-09-05,11.84
2024-09-06,11.96
2024-09-07,11.98
2024-09-08,12.04
2024-09-09,12.25
2024-09-10,12.43
2024-09-11,12.61
2024-09-12,12.73
2024-09-13,12.84
2024-09-14,12.92
2024-09-15,13.07
2024-09-16,13.14
2024-09-17,13.26
2024-09-18,13.35
2024-09-19,13.49
2024-09-20,13.65
2024-09-21,13.7
2024-09-22,13.85
2024-09-23,13.92
2024-09-24,14.11
2024-09-25,14.18
2024-09-26,14.3
2024-09-27,14.48
2024-09-28,14.53
2024-09-29,14.71
2024-09-30,14.65
2024-10-01,15.0
2024-10-02,15.07
2024-10-03,15.08
2024-10-04,15.47
2024-10-05,15.25
2024-10-06,15.53
2024-10-07,15.81
2024-10-08,15.78
2024-10-09,15.89
2024-10-10,16.04
2024-10-11,16.18
2024-10-12,16.38
2024-10-13,16.35
2024-10-14,16.42
2024-10-15,16.54
2024-10-16,16.62
2024-10-17,16.84
2024-10-18,17.02
2024-10-19,16.73
2024-10-20,16.91
2024-10-21,17.09
2024-10-22,16.95
2024-10-23,17.01
2024-10-24,17.23
2024-10-25,16.95
2024-10-26,16.88
2024-10-27,16.55
2024-10-28,16.89
2024-10-29,16.56
2024-10-30,16.74
2024-10-31,16.64
2024-11-01,16.47
2024-11-02,16.3
2024-11-03,16.17
2024-11-04,16.0
2024-11-05,15.88
2024-11-06,15.83
2024-11-07,15.68
2024-11-08,15.71
2024-11-09,15.48
2024-11-10,14.9
2024-11-11,15.82
2024-11-12,15.49
2024-11-13,15.03
2024-11-14,14.97
2024-11-15,15.09
2024-11-16,15.12
2024-11-17,14.57
2024-11-18,14.75
2024-11-19,14.38
2024-11-20,14.32
2024-11-21,14.01
2024-11-22,13.98
2024-11-23,14.17
2024-11-24,13.29
2024-11-25,13.71
2024-11-26,13.72
2024-11-27,13.13
2024-11-28,13.14
2024-11-29,12.9
2024-11-30,12.81
2024-12-01,12.73
2024-12-02,12.64
2024-12-03,12.5
2024-12-04,12.44
2024-12-05,12.44
2024-12-06,12.35
2024-12-07,12.44
2024-12-08,12.26
2024-12-09,12.26
2024-12-10,12.06
2024-12-11,12.01
2024-12-12,12.14
2024-12-13,11.78
2024-12-14,11.97
